name,area,id,total_space,lat,lng
公園二大義街口,鹽埕區,501204016,20,22.62023,120.28574
三民區公所,三民區,501203111,11,22.64779,120.29993
竹圍國小,岡山區,501216028,17,22.80314,120.30185
光潭路134巷光潭路116巷口,岡山區,501216029,15,22.77728,120.27593
中里社區公園,大社區,501222005,10,22.72307,120.35237
建國忠孝一路口,三民區,501203100,19,22.63761,120.30709
和平和平一路80巷口,苓雅區,501202076,20,22.62222,120.32120
公園二七賢三路口,鹽埕區,501204018,24,22.62290,120.28015
鳥松國小,鳥松區,501218018,13,22.66405,120.36224
八德路296巷文衡路口,鳳山區,501206126,12,22.63983,120.35541
旗津海水浴場,旗津區,501211006,17,22.61079,120.26758
正義國小,鳳山區,501206116,13,22.60431,120.33867
公兒20公園,鳳山區,501206128,18,22.63417,120.34869
大學三十二街公園,楠梓區,501210077,15,22.73132,120.29237
大學西大學十街口,楠梓區,501210078,15,22.72434,120.28149
援中德中路口(西南側),楠梓區,501210086,15,22.72091,120.28032
文勇八德路口,鳳山區,501206127,10,22.63835,120.35854
鳳山中正國小,鳳山區,501206119,15,22.62747,120.37388
青年光華路口,鳳山區,501206122,15,22.62188,120.34933
鳳甲公兒二公園,鳳山區,501206123,15,22.59520,120.34182
環河鳳東七街106巷口,鳳山區,501206129,14,22.62531,120.38537
右昌國小(後昌路),楠梓區,501210083,16,22.71564,120.29291
下鹽田三欉榕公園(大學十一街),楠梓區,501210085,15,22.72610,120.28755
五甲二路730巷口,鳳山區,501206107,12,22.59484,120.32888
崇本崇明街10巷口,小港區,501212035,10,22.57131,120.33342
昭明國小(鳳林一路184巷),大寮區,501219015,13,22.54116,120.40910
大寮國小,大寮區,501219018,12,22.59114,120.41685
北鳳山區清潔隊,鳳山區,501206121,15,22.63386,120.36351
北門公園,鳳山區,501206124,12,22.63412,120.36633
明湖澄湖路口,鳥松區,501218017,18,22.66570,120.35407
國泰青年路口,鳳山區,501206055,14,22.61872,120.34975
輕軌凱旋武昌站,苓雅區,501202075,20,22.61723,120.32669
八德八德路二段142巷口,鳳山區,501206125,10,22.64386,120.35506
華德華德街98巷口,三民區,501203106,12,22.64785,120.32265
中華里活動中心,仁武區,501214023,13,22.70836,120.32760
右昌森林公園(後昌新路58巷),楠梓區,501210084,15,22.71957,120.29289
文武公園,仁武區,501214022,12,22.69664,120.35095
育才公21停車場,仁武區,501214018,15,22.67429,120.35095
勇全赤誠街口,仁武區,501214019,14,22.67330,120.34436
澄合段停九停車場,仁武區,501214021,15,22.687501,120.347001
八德一八德中路口,仁武區,501214020,20,22.68704,120.33655
九如中華二路口,三民區,501203105,11,22.64197,120.29188
九如自立一路口,三民區,501203102,19,22.64167,120.29616
建國文英路口,鳳山區,501206113,12,22.63609,120.35917
愛國國小,三民區,501203103,17,22.64334,120.31283
三民公園(北側),三民區,501203107,14,22.64741,120.30537
輕軌機廠站,前鎮區,501208080,14,22.60884,120.32543
輕軌凱旋二聖站,前鎮區,501208081,20,22.61174,120.32676
輕軌凱旋公園站,苓雅區,501202074,20,22.62972,120.32275
育成琅環二街口,鳥松區,501218016,15,22.66597,120.35889
芎蕉公園,楠梓區,501210076,16,22.74980,120.32886
合群新城(建業緯六路口),左營區,501207106,15,22.69775,120.28648
合群新城義區(海景街),左營區,501207107,10,22.69659,120.28766
世運大道,楠梓區,501210073,14,22.70100,120.29822
綠川河川街口,鼓山區,501209067,15,22.63529,120.28377
武林輜汽路口,鳳山區,501206117,17,22.61592,120.33454
仁忠仁忠路111巷口,大寮區,501219017,20,22.59258,120.39912
新光國小(華夏路側),左營區,501207052,18,22.68060,120.30493
楠梓游泳池,楠梓區,501210066,20,22.73366,120.33155
新建南新開發路口,楠梓區,501210067,16,22.72343,120.31012
旗津貝殼館,旗津區,501211005,19,22.60076,120.27464
中洲渡輪船站,旗津區,501211003,10,22.57561,120.29897
明華國中(南屏路),鼓山區,501209063,24,22.66238,120.30016
河邊興隆路口,鼓山區,501209065,15,22.63651,120.28384
中都聯合里民中心,三民區,501203101,14,22.64462,120.28282
雄峰公園(鼓山三路),鼓山區,501209064,15,22.66763,120.28224
高雄市立圖書館大樹二館,大樹區,501226006,10,22.65792,120.41814
九曲堂火車站(後站),大樹區,501226004,15,22.65646,120.42187
明鳳公園,鳳山區,501206108,10,22.588701,120.334152
前峰國中,岡山區,501216027,10,22.78879,120.28904
典寶溪A區滯洪池,岡山區,501216025,10,22.78193,120.28615
中光街22巷口停車場,小港區,501212034,15,22.57151,120.35580
莿蔥腳濕地公園,小港區,501212033,10,22.57080,120.37627
楠梓路1巷楠梓路口,楠梓區,501210075,10,22.72758,120.32961
文華兒童公園,鳳山區,501206111,18,22.63455,120.35140
文山公兒三公園,鳳山區,501206118,18,22.64299,120.34680
福安公園,苓雅區,501202071,17,22.62483,120.33109
三多和平一路口,苓雅區,501202072,20,22.61993,120.32270
河堤明哲路口,三民區,501203096,22,22.66152,120.31160
明誠鼎愛街口,三民區,501203097,11,22.66029,120.32129
灣仔內兒童遊戲場,三民區,501203098,16,22.65016,120.32066
寶德里廣場,三民區,501203099,21,22.64143,120.33528
雙峰公園停車場,美濃區,501230002,15,22.90168,120.54212
鼓山國小(延平一路),旗山區,501229001,15,22.89834,120.48279
旗山區公所,旗山區,501229005,16,22.88859,120.48328
海洋濕地公園,林園區,501215008,14,22.49028,120.38649
西燕公園,燕巢區,501228006,10,22.79395,120.35817
大遼友情路口(西北側),岡山區,501216026,10,22.77847,120.31373
旗山轉運站,旗山區,501229004,15,22.88379,120.48470
旗山武德殿,旗山區,501229003,29,22.88814,120.48033
阿蓮國中,阿蓮區,501225001,14,22.88531,120.32566
阿蓮國小,阿蓮區,501225003,15,22.88278,120.33008
高雄市立圖書館美濃分館,美濃區,501230003,15,22.90015,120.54201
旗山老街(華中街),旗山區,501229002,12,22.88804,120.48166
美濃湖(民權路),美濃區,501230001,15,22.90761,120.55159
大安公園,鹽埕區,501204015,15,22.62393,120.27848
路竹區戶政事務所,路竹區,501224004,12,22.85536,120.25962
高雄市立圖書館湖內分館,湖內區,501221001,10,22.90661,120.22380
梓官國小,梓官區,501213005,10,22.76037,120.26453
彌陀國中,彌陀區,501223003,15,22.77690,120.24694
高雄市立圖書館彌陀公園分館,彌陀區,501223002,10,22.78538,120.24630
興達國小,茄萣區,501217003,8,22.87568,120.19685
茄萣濕地遊客中心,茄萣區,501217006,20,22.88315,120.19759
仁愛港東街口,茄萣區,501217005,10,22.89582,120.18502
崇實自助社區活動中心,左營區,501207103,12,22.67862,120.28262
半屏山登山南側步道入口,左營區,501207108,10,22.69141,120.30292
裕誠美術館路口,鼓山區,501209056,15,22.65484,120.29400
埤頂鳳埤街口,鳳山區,501206112,10,22.62979,120.38075
創新公園,楠梓區,501210062,15,22.74228,120.32623
和平五福一路口,苓雅區,501202063,20,22.62873,120.31870
國昌里公園,楠梓區,501210072,15,22.72128,120.28757
蚵寮國中,梓官區,501213002,8,22.72855,120.25866
中正港六街口,梓官區,501213003,10,22.72758,120.25737
蚵寮國小,梓官區,501213004,10,22.73401,120.24953
高雄市立圖書館燕巢分館,燕巢區,501228005,10,22.79334,120.36218
岡山養護工程隊,橋頭區,501220006,10,22.74555,120.31061
裕誠富農路口,鼓山區,501209058,15,22.65657,120.29406
中崙國小,鳳山區,501206100,13,22.59950,120.35092
大順民族路口,三民區,501203094,16,22.65572,120.31507
中庄社區發展協會,大寮區,501219016,10,22.63309,120.40357
大樹綜合體育館,大樹區,501226005,15,22.65668,120.42474
旗津漁港公有停車場,旗津區,501211004,15,22.58977,120.28719
高雄市立圖書館小港分館,小港區,501212031,15,22.56063,120.37032
中央開發路口,楠梓區,501210068,14,22.72126,120.30479
中央中三街口,楠梓區,501210071,13,22.72425,120.30351
經六開發路口,楠梓區,501210069,15,22.72016,120.30102
研發創意北路口,楠梓區,501210070,20,22.71400,120.29985
民族聯興路50巷口,三民區,501203095,33,22.65673,120.31531
小港森林公園(近營口路),小港區,501212029,15,22.57263,120.37074
岡山國中(大德二路側),岡山區,501216011,15,22.78972,120.30380
岡山平面停車場,岡山區,501216024,24,22.79183,120.29620
觀音山腳休息區,大社區,501222006,12,22.72974,120.36987
三亭攬勝,鳥松區,501218015,15,22.66425,120.35258
北一路西十一街口,前鎮區,501208064,20,22.60535,120.28848
高雄加工出口區員工宿舍(擴建路),前鎮區,501208065,10,22.59091,120.30436
臺鐵新左營站(站前一街東北側),左營區,501207105,25,22.68923,120.30747
高雄市音樂館,鹽埕區,501204014,16,22.62784,120.28693
五福建國路口東南側,鹽埕區,501204012,14,22.62508,120.28040
民權四維三路口,苓雅區,501202070,16,22.61982,120.31315
青年公園,鳳山區,501206102,20,22.62933,120.34908
文教公園,鳳山區,501206110,16,22.63370,120.35106
大園大和街口,三民區,501203093,13,22.65587,120.32523
鳳頂過雄一街口,鳳山區,501206106,15,22.58599,120.35870
明義國中(高鳳路),小港區,501212032,16,22.58430,120.36867
小港森林公園(高松路),小港區,501212028,15,22.57278,120.36673
高雄市立圖書館楠仔坑分館,楠梓區,501210064,17,22.73139,120.32888
中華一路828號南側,鼓山區,501209050,13,22.66002,120.29209
鼓山區戶政事務所第二辦公處,鼓山區,501209057,10,22.66743,120.28952
輕軌文武聖殿站,鹽埕區,501204011,15,22.62916,120.28071
誠體誠智街口,鳳山區,501206094,12,22.62295,120.37740
民族社區老人活動中心,三民區,501203086,18,22.64013,120.31636
前鎮圖書館,前鎮區,501208072,14,22.60247,120.33341
同盟十全路口,三民區,501203088,14,22.64894,120.28608
西藏翠華路口,鼓山區,501209060,20,22.65490,120.28159
七聖街112巷口,鳳山區,501206059,15,22.60939,120.34704
博愛公園,鳳山區,501206057,15,22.62986,120.36269
陽明義華路口,三民區,501203087,35,22.64269,120.34212
中山大學工學院,鼓山區,501209051,24,22.62666,120.26659
中山大學材料大樓,鼓山區,501209054,10,22.62710,120.26689
河東民生路口,前金區,501205031,27,22.62400,120.29038
行政院南部聯合服務中心(舊址),前金區,501205033,15,22.62950,120.29177
福安二街20巷39弄口,鳳山區,501206097,11,22.58965,120.33299
公園二公園街口,鳳山區,501206095,17,22.58768,120.33176
國慶明龍街口,前鎮區,501208071,11,22.58754,120.33800
NO.16藝術公園,鳳山區,501206101,20,22.64575,120.37408
臨加東臨加北路口,前鎮區,501208066,12,22.57796,120.31958
漁港草衙二路口,前鎮區,501208070,20,22.58156,120.32284
中華熱河三街口,三民區,501203089,12,22.64487,120.29148
中華九如三路口,三民區,501203090,10,22.64232,120.29132
中庸中華橫路口,三民區,501203091,13,22.64148,120.28719
鳳山工業區,鳳山區,501206088,14,22.61465,120.33237
武慶武昌路口,鳳山區,501206089,14,22.61756,120.33203
