sna,sarea,sno,tot,sbi,mday,lat,lng,bemp,act
華榮公園,鼓山區,501209029,53,1,20230320145205,22.66444,120.2969,52,1
駁二藝術特區(必信街),鹽埕區,501204008,15,8,20230320143215,22.61938,120.28481,7,1
佛公國小,前鎮區,501208036,27,3,20230320145443,22.57382,120.32004,24,1
原住民故事館,前鎮區,501208039,22,10,20230320145241,22.59392,120.31624,11,1
願景橋,鼓山區,501209037,16,5,20230320141440,22.65081,120.28753,11,1
夢時代購物中心,前鎮區,501208034,19,10,20230320144115,22.59586,120.30493,9,1
二聖公園,前鎮區,501208056,27,20,20230320123215,22.61385,120.3183,7,1
輕軌內惟藝術中心,鼓山區,501209049,20,15,20230320144516,22.655019,120.282409,5,1
中四中一路口,前鎮區,501208040,10,8,20230320124914,22.60169,120.29173,2,1
新光中山路口,前鎮區,501208053,21,4,20230320143715,22.61213,120.30491,17,1
捷運獅甲站(2號出口),前鎮區,501208030,38,2,20230320144215,22.6058,120.30857,36,1
高雄市漁民服務中心,前鎮區,501208037,28,16,20230320134740,22.57217,120.31748,12,1
輕軌前鎮之星站,前鎮區,501208062,16,3,20230320141041,22.59634,120.31537,13,1
凹子底森林公園(神農路),鼓山區,501209030,18,10,20230320144616,22.65787,120.29659,7,1
管仲民裕路口,前鎮區,501208046,16,4,20230320141515,22.60557,120.31267,12,1
民權少康街口,前鎮區,501208048,23,2,20230320144023,22.60933,120.3131,21,1
中山時代大道口(西北角),前鎮區,501208031,28,21,20230320130942,22.59878,120.31339,7,1
高雄市政府消防局,前鎮區,501208057,28,22,20230320144815,22.59309,120.30735,5,1
捷運市議會站(4號出口),前金區,501205026,19,4,20230320145417,22.6295,120.29547,15,1
前鎮民權公園,前鎮區,501208063,16,2,20230320094441,22.61351,120.31397,14,1
中華忠勤路口,前鎮區,501208054,28,11,20230320141840,22.60527,120.30493,17,1
台鋁廣場(成功二路),前鎮區,501208045,32,17,20230320120815,22.60336,120.30201,15,1
西子灣風景區,鼓山區,501209032,28,11,20230320125615,22.61824,120.26609,17,1
哈瑪星鐵道文化園區(臨海新路),鼓山區,501209035,28,3,20230320142542,22.62034,120.27711,25,1
輕軌真愛碼頭站,鹽埕區,501204007,21,1,20230320130116,22.61978,120.28893,20,1
新樂截流抽水站,鹽埕區,501204010,23,0,20220425191523,22.623,120.28915,0,0
南屏大順路口,鼓山區,501209033,20,1,20230320143240,22.65578,120.29991,19,1
雄峰公園,鼓山區,501209038,16,2,20230320143506,22.66754,120.2853,14,1
台鐵美術館車站,鼓山區,501209046,22,2,20230320145116,22.65204,120.28111,20,1
興仁國中,前鎮區,501208049,16,2,20230320103305,22.58682,120.31382,14,1
五福仁德街口,前金區,501205023,15,2,20230320144740,22.62279,120.29949,13,1
中華藝校(美術東一路),鼓山區,501209027,19,14,20230320134716,22.65603,120.28881,5,1
青海鼓山路口,鼓山區,501209034,15,10,20230320145241,22.65173,120.27629,5,1
明誠高中(華寧路),鼓山區,501209041,16,11,20230320143115,22.66748,120.29228,5,1
厚泰公有停車場西側,鼓山區,501209044,15,5,20230320143441,22.64616,120.2787,10,1
瑞豐國中,前鎮區,501208050,20,1,20230320142715,22.6091,120.33057,19,1
一號船渠景觀橋,鼓山區,501209036,16,12,20230320144140,22.62079,120.27013,4,1
鼓山國小(臨海二路),鼓山區,501209042,15,1,20230320145306,22.62329,120.27155,14,1
鼓山鼓山一路119巷口,鼓山區,501209045,16,6,20230320144140,22.62785,120.27937,10,1
高雄市圖書館總館,前鎮區,501208059,29,6,20230320135241,22.61061,120.3021,23,1
中山大學海工館,鼓山區,501209040,31,29,20230320145140,22.62875,120.26259,2,1
七賢河東路口,前金區,501205022,15,8,20230320144440,22.63029,120.28729,7,1
捷運草衙站(1號出口),前鎮區,501208035,28,18,20230320145417,22.57953,120.32902,9,1
瑞祥高中(凱旋四路),前鎮區,501208047,30,18,20230320115525,22.60311,120.32405,12,1
班超公園,前鎮區,501208055,20,15,20230320145417,22.60096,120.32557,5,1
中山大學社科院,鼓山區,501209039,30,13,20230320144815,22.62617,120.26504,17,1
